Source,Country,Code,Year,Sex,Age,Deaths
unpd,American Samoa,ASM,2020,m,65,21
unpd,American Samoa,ASM,2020,m,70,18
unpd,American Samoa,ASM,2020,m,75,21
unpd,American Samoa,ASM,2020,m,80,17
unpd,American Samoa,ASM,2020,m,85,6
unpd,American Samoa,ASM,2020,t,0,7.999999999999999
unpd,American Samoa,ASM,2020,t,1,3
unpd,American Samoa,ASM,2020,t,5,0
unpd,American Samoa,ASM,2020,t,10,0
unpd,American Samoa,ASM,2020,t,15,7.999999999999999
unpd,American Samoa,ASM,2020,t,20,6
unpd,American Samoa,ASM,2020,t,25,5
unpd,American Samoa,ASM,2020,t,30,6
unpd,American Samoa,ASM,2020,t,35,10
unpd,American Samoa,ASM,2020,t,40,19
