Year,Age,Deaths,Sex,Source,Country,Code,age_spn
2017,86,42521.17565052381,f,direct,USA,USA,1
2017,87,44274.22411984103,f,direct,USA,USA,1
2017,88,44243.223262711064,f,direct,USA,USA,1
2017,89,44879.24084770008,f,direct,USA,USA,1
2017,90,45157.248534220445,f,direct,USA,USA,1
2017,91,43445.20119852672,f,direct,USA,USA,1
2017,92,41764.15471996298,f,direct,USA,USA,1
2017,93,37920.048435846955,f,direct,USA,USA,1
2017,94,33888.936981301755,f,direct,USA,USA,1
2017,95,30096.83213495213,f,direct,USA,USA,1
2017,96,24926.689187792956,f,direct,USA,USA,1
2017,97,19849.548812023684,f,direct,USA,USA,1
2017,98,14709.406694345125,f,direct,USA,USA,1
