Country,iso3,sex,age,Nx,Dxhat_WM,Dx_expected,Dx_observed,GHE_2019,Dxhat_spinoff
Armenia,ARM,Male,85,11153,2351.716186087,1874.86036572732,2623.89834292092,NA,3256.2232913356893
Antigua and Barbuda,ATG,Female,0,3625,4.79622272544981,6.33428896192707,NA,NA,4.4696428590852655
Antigua and Barbuda,ATG,Female,5,3560,0.0765711244997627,0.1,NA,NA,0.662268345931508
Antigua and Barbuda,ATG,Female,10,3369,1.44548804483182,1.58357224048177,NA,NA,0.6845014639641767
Antigua and Barbuda,ATG,Female,15,3490,1.54407693286157,1.58357224048177,NA,NA,1.6020731118071982
Antigua and Barbuda,ATG,Female,20,3752,1.56922267175686,1.58357224048177,NA,NA,2.0664199741955445
Antigua and Barbuda,ATG,Female,25,3672,3.14508572071293,3.16714448096353,NA,NA,2.270441508484049
Antigua and Barbuda,ATG,Female,30,3691,3.1825897081299,3.16714448096353,NA,NA,3.0728398550645823
Antigua and Barbuda,ATG,Female,35,3722,6.47108205573634,6.33428896192706,NA,NA,4.491634726376275
Antigua and Barbuda,ATG,Female,40,3707,9.83473896413073,9.5014334428906,NA,NA,6.926240297861565
Antigua and Barbuda,ATG,Female,45,3774,16.4842746649415,15.8357224048177,NA,NA,10.998179297931589
Antigua and Barbuda,ATG,Female,50,3640,24.8325798053623,23.7535836072265,NA,NA,16.205860819718477
Antigua and Barbuda,ATG,Female,55,3247,35.9568331437609,34.8385892905989,NA,NA,21.968226307668743
Antigua and Barbuda,ATG,Female,60,2491,43.745210146689,42.7564504930077,NA,NA,29.37955756277447
Antigua and Barbuda,ATG,Female,65,1807,49.9143197527373,49.0907394549348,NA,NA,39.26870993083349
Antigua and Barbuda,ATG,Female,70,1338,60.2316053061875,58.5921728978254,NA,NA,55.93667345553171
Antigua and Barbuda,ATG,Female,75,859,64.1961336425643,61.7593173787889,NA,NA,71.35205866264498
Antigua and Barbuda,ATG,Female,80,505,65.5265205693357,61.7593173787889,NA,NA,90.53821876302969
